UserName,Password,Email,FullName,Birthday,CharacterName,CharacterAge,Health,XP,Copper,,,,,
selmhurst2a,rB5$7k8+RT,selmhurst2a@theguardian.com,Arabella Ainley,1987-07-31,Salvatore Elmhurst,28,3,135,93,,,," (N'selmhurst2a', N'rB5$7k8+RT', N'selmhurst2a@theguardian.com',N'Arabella Ainley',N'1987-07-31',N'Salvatore Elmhurst',N'28',N'3',N'135',N'93'),",1987-07-31
bcassie2b,"kE3*OK,G",bcassie2b@chicagotribune.com,Kile Gauntley,2001-01-30,Barbaraanne Cassie,93,5,156,86,,,," (N'bcassie2b', N'kE3*OK,G', N'bcassie2b@chicagotribune.com',N'Kile Gauntley',N'2001-01-30',N'Barbaraanne Cassie',N'93',N'5',N'156',N'86'),",2001-01-30
mlaux2c,zW7}Y`EdBwO3,mlaux2c@qq.com,Mia Methingam,1987-04-25,Mignon Laux,24,3,116,81,,,," (N'mlaux2c', N'zW7}Y`EdBwO3', N'mlaux2c@qq.com',N'Mia Methingam',N'1987-04-25',N'Mignon Laux',N'24',N'3',N'116',N'81'),",1987-04-25
jblaber2d,pL3@z%!YL#,jblaber2d@indiatimes.com,Natalya Westhead,2006-04-17,Jamie Blaber,56,3,160,3,,,," (N'jblaber2d', N'pL3@z%!YL#', N'jblaber2d@indiatimes.com',N'Natalya Westhead',N'2006-04-17',N'Jamie Blaber',N'56',N'3',N'160',N'3'),",2006-04-17
landresser2e,"oN0!k|""=tY\",landresser2e@friendfeed.com,Chrissy Attarge,1994-12-21,Lennard Andresser,3,5,106,27,,,," (N'landresser2e', N'oN0!k|""=tY\', N'landresser2e@friendfeed.com',N'Chrissy Attarge',N'1994-12-21',N'Lennard Andresser',N'3',N'5',N'106',N'27'),",1994-12-21
ugodsell2f,"cI4.Fk<,",ugodsell2f@multiply.com,Bud Langstrath,1984-09-21,Ulrich Godsell,96,4,74,50,,,," (N'ugodsell2f', N'cI4.Fk<,', N'ugodsell2f@multiply.com',N'Bud Langstrath',N'1984-09-21',N'Ulrich Godsell',N'96',N'4',N'74',N'50'),",1984-09-21
fbrisco2g,cX7#QJjd,fbrisco2g@boston.com,Abbott Musico,1993-09-15,Francklyn Brisco,32,3,129,92,,,," (N'fbrisco2g', N'cX7#QJjd', N'fbrisco2g@boston.com',N'Abbott Musico',N'1993-09-15',N'Francklyn Brisco',N'32',N'3',N'129',N'92'),",1993-09-15
lelby2h,"wD1&$B2<@APCbg|,",lelby2h@dell.com,Josias Graysmark,2013-12-12,Laetitia Elby,84,3,106,61,,,," (N'lelby2h', N'wD1&$B2<@APCbg|,', N'lelby2h@dell.com',N'Josias Graysmark',N'2013-12-12',N'Laetitia Elby',N'84',N'3',N'106',N'61'),",2013-12-12
nsoeiro2i,xF1||'$U8,nsoeiro2i@wunderground.com,Kala Legen,1988-09-19,Nertie Soeiro,75,4,34,43,,,," (N'nsoeiro2i', N'xF1||'$U8', N'nsoeiro2i@wunderground.com',N'Kala Legen',N'1988-09-19',N'Nertie Soeiro',N'75',N'4',N'34',N'43'),",1988-09-19
cchrstine2j,gH5=J_O#s,cchrstine2j@hp.com,Juanita Dearth,2007-12-15,Corabella Chrstine,85,5,98,3,,,," (N'cchrstine2j', N'gH5=J_O#s', N'cchrstine2j@hp.com',N'Juanita Dearth',N'2007-12-15',N'Corabella Chrstine',N'85',N'5',N'98',N'3'),",2007-12-15
ikitchingman2k,"aZ3""l{2'",ikitchingman2k@epa.gov,Celka Piser,2012-09-13,Ingrid Kitchingman,27,8,108,79,,,," (N'ikitchingman2k', N'aZ3""l{2'', N'ikitchingman2k@epa.gov',N'Celka Piser',N'2012-09-13',N'Ingrid Kitchingman',N'27',N'8',N'108',N'79'),",2012-09-13
rtrayte2l,lB8_`|'McgZU,rtrayte2l@symantec.com,Bidget Buttery,1992-12-27,Randee Trayte,87,3,147,97,,,," (N'rtrayte2l', N'lB8_`|'McgZU', N'rtrayte2l@symantec.com',N'Bidget Buttery',N'1992-12-27',N'Randee Trayte',N'87',N'3',N'147',N'97'),",1992-12-27
gelverston2m,xD0!uI{+nI2,gelverston2m@flickr.com,Opaline Fenne,1986-03-05,Gabe Elverston,25,7,104,31,,,," (N'gelverston2m', N'xD0!uI{+nI2', N'gelverston2m@flickr.com',N'Opaline Fenne',N'1986-03-05',N'Gabe Elverston',N'25',N'7',N'104',N'31'),",1986-03-05
cmushawe2n,cX5*ZON.,cmushawe2n@flavors.me,Cortney Eddleston,2015-08-11,Caro Mushawe,30,8,169,97,,,," (N'cmushawe2n', N'cX5*ZON.', N'cmushawe2n@flavors.me',N'Cortney Eddleston',N'2015-08-11',N'Caro Mushawe',N'30',N'8',N'169',N'97'),",2015-08-11
lgronow2o,"bX4_dm,uXZYH2Am",lgronow2o@upenn.edu,Lotte Haythorne,1981-07-24,Lyssa Gronow,82,4,193,1,,,," (N'lgronow2o', N'bX4_dm,uXZYH2Am', N'lgronow2o@upenn.edu',N'Lotte Haythorne',N'1981-07-24',N'Lyssa Gronow',N'82',N'4',N'193',N'1'),",1981-07-24
zbitterton2p,mL3\UgMd,zbitterton2p@dropbox.com,Angelita Dowsey,1990-11-15,Zahara Bitterton,21,4,86,1,,,," (N'zbitterton2p', N'mL3\UgMd', N'zbitterton2p@dropbox.com',N'Angelita Dowsey',N'1990-11-15',N'Zahara Bitterton',N'21',N'4',N'86',N'1'),",1990-11-15
ecuningham2q,"uV2$PE$,c",ecuningham2q@weebly.com,Putnem Locock,1990-12-02,Elli Cuningham,71,4,170,66,,,," (N'ecuningham2q', N'uV2$PE$,c', N'ecuningham2q@weebly.com',N'Putnem Locock',N'1990-12-02',N'Elli Cuningham',N'71',N'4',N'170',N'66'),",1990-12-02
dmattusov2r,rW5*r(rPm,dmattusov2r@adobe.com,Barbabra Chell,2005-06-05,Dur Mattusov,36,5,157,46,,,," (N'dmattusov2r', N'rW5*r(rPm', N'dmattusov2r@adobe.com',N'Barbabra Chell',N'2005-06-05',N'Dur Mattusov',N'36',N'5',N'157',N'46'),",2005-06-05
rpreedy2s,iL4&trCbg@21,rpreedy2s@squarespace.com,Jodee Brosini,1998-04-14,Richardo Preedy,54,8,139,12,,,," (N'rpreedy2s', N'iL4&trCbg@21', N'rpreedy2s@squarespace.com',N'Jodee Brosini',N'1998-04-14',N'Richardo Preedy',N'54',N'8',N'139',N'12'),",1998-04-14
rbooi2t,wH7$97J_?|,rbooi2t@rambler.ru,Meridel Linthead,2017-10-03,Rodie Booi,90,6,158,58,,,," (N'rbooi2t', N'wH7$97J_?|', N'rbooi2t@rambler.ru',N'Meridel Linthead',N'2017-10-03',N'Rodie Booi',N'90',N'6',N'158',N'58'),",2017-10-03
mcohalan2u,gN4'\No8EI`h,mcohalan2u@people.com.cn,Lucky Delacourt,1983-02-16,Mandie Cohalan,19,6,195,99,,,," (N'mcohalan2u', N'gN4'\No8EI`h', N'mcohalan2u@people.com.cn',N'Lucky Delacourt',N'1983-02-16',N'Mandie Cohalan',N'19',N'6',N'195',N'99'),",1983-02-16
rmaddern2v,tR9|)hE=8pS,rmaddern2v@msu.edu,Caryn Frail,1981-02-08,Rudolf Maddern,28,5,82,29,,,," (N'rmaddern2v', N'tR9|)hE=8pS', N'rmaddern2v@msu.edu',N'Caryn Frail',N'1981-02-08',N'Rudolf Maddern',N'28',N'5',N'82',N'29'),",1981-02-08
slynd2w,"eQ8~i""sl7rg9M",slynd2w@soundcloud.com,Zsazsa Hanniger,1988-04-15,Shaughn Lynd,20,3,169,30,,,," (N'slynd2w', N'eQ8~i""sl7rg9M', N'slynd2w@soundcloud.com',N'Zsazsa Hanniger',N'1988-04-15',N'Shaughn Lynd',N'20',N'3',N'169',N'30'),",1988-04-15
aroyce2x,uK8{(GKL,aroyce2x@sakura.ne.jp,Daveen Kemm,1987-10-28,Ashil Royce,81,6,163,72,,,," (N'aroyce2x', N'uK8{(GKL', N'aroyce2x@sakura.ne.jp',N'Daveen Kemm',N'1987-10-28',N'Ashil Royce',N'81',N'6',N'163',N'72'),",1987-10-28
dlanigan2y,sG3!UKx8Kh`c$cR,dlanigan2y@topsy.com,Anton Seebright,2009-08-09,Drusilla Lanigan,23,7,145,16,,,," (N'dlanigan2y', N'sG3!UKx8Kh`c$cR', N'dlanigan2y@topsy.com',N'Anton Seebright',N'2009-08-09',N'Drusilla Lanigan',N'23',N'7',N'145',N'16'),",2009-08-09
jaxelby2z,xQ3'|6=Pln)U,jaxelby2z@simplemachines.org,Adrienne July,1995-04-17,Janot Axelby,12,4,44,87,,,," (N'jaxelby2z', N'xQ3'|6=Pln)U', N'jaxelby2z@simplemachines.org',N'Adrienne July',N'1995-04-17',N'Janot Axelby',N'12',N'4',N'44',N'87'),",1995-04-17
afreeth30,lW2+%ymA9,afreeth30@pinterest.com,Braden Rochell,2007-01-07,Agnese Freeth,58,7,161,70,,,," (N'afreeth30', N'lW2+%ymA9', N'afreeth30@pinterest.com',N'Braden Rochell',N'2007-01-07',N'Agnese Freeth',N'58',N'7',N'161',N'70'),",2007-01-07
wlinzee31,kR1}Zcv00G,wlinzee31@irs.gov,Bevon Flobert,1997-05-02,Wallace Linzee,74,7,21,53,,,," (N'wlinzee31', N'kR1}Zcv00G', N'wlinzee31@irs.gov',N'Bevon Flobert',N'1997-05-02',N'Wallace Linzee',N'74',N'7',N'21',N'53'),",1997-05-02
llarmouth32,tZ1}KDDMOAJ,llarmouth32@blogger.com,Oby Beston,2003-06-29,Lanna Larmouth,71,5,124,92,,,," (N'llarmouth32', N'tZ1}KDDMOAJ', N'llarmouth32@blogger.com',N'Oby Beston',N'2003-06-29',N'Lanna Larmouth',N'71',N'5',N'124',N'92'),",2003-06-29
dmurkus33,qF4!gWz|3kNn6TA,dmurkus33@sciencedaily.com,Rois Cornfield,1994-07-27,Darnell Murkus,27,5,197,48,,,," (N'dmurkus33', N'qF4!gWz|3kNn6TA', N'dmurkus33@sciencedaily.com',N'Rois Cornfield',N'1994-07-27',N'Darnell Murkus',N'27',N'5',N'197',N'48'),",1994-07-27
lculp34,zO2&gdidRf99,lculp34@msn.com,Gordon Garrould,1983-03-15,Lauren Culp,12,7,90,50,,,," (N'lculp34', N'zO2&gdidRf99', N'lculp34@msn.com',N'Gordon Garrould',N'1983-03-15',N'Lauren Culp',N'12',N'7',N'90',N'50'),",1983-03-15
amuffitt35,hD5~0MZasF,amuffitt35@mac.com,Carmine Fulker,2001-05-24,Art Muffitt,56,8,93,2,,,," (N'amuffitt35', N'hD5~0MZasF', N'amuffitt35@mac.com',N'Carmine Fulker',N'2001-05-24',N'Art Muffitt',N'56',N'8',N'93',N'2'),",2001-05-24
ladamski36,hJ0@ORg4oD_~gVlt,ladamski36@businessweek.com,Quintus Rawet,2013-03-03,Lou Adamski,32,7,110,1,,,," (N'ladamski36', N'hJ0@ORg4oD_~gVlt', N'ladamski36@businessweek.com',N'Quintus Rawet',N'2013-03-03',N'Lou Adamski',N'32',N'7',N'110',N'1'),",2013-03-03
aceeley37,gI6.V\9VGqmuAb_,aceeley37@acquirethisname.com,Celesta Venditti,1983-03-21,Alric Ceeley,34,5,29,36,,,," (N'aceeley37', N'gI6.V\9VGqmuAb_', N'aceeley37@acquirethisname.com',N'Celesta Venditti',N'1983-03-21',N'Alric Ceeley',N'34',N'5',N'29',N'36'),",1983-03-21
negdell38,uT0_y?E/rb*M,negdell38@gov.uk,Tracie Cord,1985-10-18,Nanci Egdell,24,4,73,52,,,," (N'negdell38', N'uT0_y?E/rb*M', N'negdell38@gov.uk',N'Tracie Cord',N'1985-10-18',N'Nanci Egdell',N'24',N'4',N'73',N'52'),",1985-10-18
srooms39,sV7|/=W_F@b{,srooms39@studiopress.com,Townsend Howitt,2002-08-26,Seline Rooms,40,6,87,96,,,," (N'srooms39', N'sV7|/=W_F@b{', N'srooms39@studiopress.com',N'Townsend Howitt',N'2002-08-26',N'Seline Rooms',N'40',N'6',N'87',N'96'),",2002-08-26
abecraft3a,zQ7@n|zm`t+i*,abecraft3a@php.net,Justinn Kleuer,2017-01-16,Adrea Becraft,21,7,84,49,,,," (N'abecraft3a', N'zQ7@n|zm`t+i*', N'abecraft3a@php.net',N'Justinn Kleuer',N'2017-01-16',N'Adrea Becraft',N'21',N'7',N'84',N'49'),",2017-01-16
akruse3b,fH7=Bn5Y!18I,akruse3b@rediff.com,Bobby Ewbach,2001-10-10,Alexi Kruse,69,5,85,28,,,," (N'akruse3b', N'fH7=Bn5Y!18I', N'akruse3b@rediff.com',N'Bobby Ewbach',N'2001-10-10',N'Alexi Kruse',N'69',N'5',N'85',N'28'),",2001-10-10
chardaker3c,sR5&k#p=p8f,chardaker3c@harvard.edu,Teddy Hanselmann,1982-06-27,Catrina Hardaker,82,4,106,90,,,," (N'chardaker3c', N'sR5&k#p=p8f', N'chardaker3c@harvard.edu',N'Teddy Hanselmann',N'1982-06-27',N'Catrina Hardaker',N'82',N'4',N'106',N'90'),",1982-06-27
ytetla3d,tS6~bpg<HYD,ytetla3d@dailymotion.com,Knox Chesser,1992-12-12,Yehudi Tetla,49,7,83,2,,,," (N'ytetla3d', N'tS6~bpg<HYD', N'ytetla3d@dailymotion.com',N'Knox Chesser',N'1992-12-12',N'Yehudi Tetla',N'49',N'7',N'83',N'2'),",1992-12-12
jhartright3e,iR2$6stn,jhartright3e@webnode.com,Eleonore Govan,1980-10-06,Jeanette Hartright,23,8,53,26,,,," (N'jhartright3e', N'iR2$6stn', N'jhartright3e@webnode.com',N'Eleonore Govan',N'1980-10-06',N'Jeanette Hartright',N'23',N'8',N'53',N'26'),",1980-10-06
jshurrocks3f,yJ3+{ZnC,jshurrocks3f@stumbleupon.com,Joli Mc Faul,1985-11-17,Josey Shurrocks,17,6,158,55,,,," (N'jshurrocks3f', N'yJ3+{ZnC', N'jshurrocks3f@stumbleupon.com',N'Joli Mc Faul',N'1985-11-17',N'Josey Shurrocks',N'17',N'6',N'158',N'55'),",1985-11-17
mmatteoli3g,sW0%pxgz#CDhG.,mmatteoli3g@psu.edu,Ermina Vondra,2000-03-28,Maryanna Matteoli,77,4,22,4,,,," (N'mmatteoli3g', N'sW0%pxgz#CDhG.', N'mmatteoli3g@psu.edu',N'Ermina Vondra',N'2000-03-28',N'Maryanna Matteoli',N'77',N'4',N'22',N'4'),",2000-03-28
bfitzroy3h,jD9+y!b+P,bfitzroy3h@barnesandnoble.com,Balduin Byrde,2011-06-27,Bell Fitzroy,6,7,76,85,,,," (N'bfitzroy3h', N'jD9+y!b+P', N'bfitzroy3h@barnesandnoble.com',N'Balduin Byrde',N'2011-06-27',N'Bell Fitzroy',N'6',N'7',N'76',N'85'),",2011-06-27
abrandenburg3i,"fG5?4""RrC",abrandenburg3i@usda.gov,Ban Gates,1980-11-29,Adella Brandenburg,18,6,106,97,,,," (N'abrandenburg3i', N'fG5?4""RrC', N'abrandenburg3i@usda.gov',N'Ban Gates',N'1980-11-29',N'Adella Brandenburg',N'18',N'6',N'106',N'97'),",1980-11-29
bheritege3j,pE8}Nva9B5n|}Rpg,bheritege3j@boston.com,Allayne Forestall,2017-11-05,Burk Heritege,12,3,186,36,,,," (N'bheritege3j', N'pE8}Nva9B5n|}Rpg', N'bheritege3j@boston.com',N'Allayne Forestall',N'2017-11-05',N'Burk Heritege',N'12',N'3',N'186',N'36'),",2017-11-05
dgianolo3k,aS9@wO$5~I,dgianolo3k@ucsd.edu,Kaleena Gelderd,1993-05-26,Dermot Gianolo,30,4,187,91,,,," (N'dgianolo3k', N'aS9@wO$5~I', N'dgianolo3k@ucsd.edu',N'Kaleena Gelderd',N'1993-05-26',N'Dermot Gianolo',N'30',N'4',N'187',N'91'),",1993-05-26
pbaptie3l,yF2{hH/erEE,pbaptie3l@naver.com,Calida Heersma,1984-04-25,Paddie Baptie,17,8,168,55,,,," (N'pbaptie3l', N'yF2{hH/erEE', N'pbaptie3l@naver.com',N'Calida Heersma',N'1984-04-25',N'Paddie Baptie',N'17',N'8',N'168',N'55'),",1984-04-25
tbromley3m,fU3\voQG{{=4v,tbromley3m@com.com,Fergus Cesconi,1992-03-18,Trisha Bromley,94,4,94,31,,,," (N'tbromley3m', N'fU3\voQG{{=4v', N'tbromley3m@com.com',N'Fergus Cesconi',N'1992-03-18',N'Trisha Bromley',N'94',N'4',N'94',N'31'),",1992-03-18
dsycamore3n,"dM2""spD3>E'1/T",dsycamore3n@washington.edu,Ty Budcock,1998-11-26,Dione Sycamore,83,8,128,79,,,," (N'dsycamore3n', N'dM2""spD3>E'1/T', N'dsycamore3n@washington.edu',N'Ty Budcock',N'1998-11-26',N'Dione Sycamore',N'83',N'8',N'128',N'79'),",1998-11-26
hmimmack3o,fK3\#23l1iZ,hmimmack3o@uol.com.br,Melisandra Giddy,2012-05-10,Henderson Mimmack,95,7,132,74,,,," (N'hmimmack3o', N'fK3\#23l1iZ', N'hmimmack3o@uol.com.br',N'Melisandra Giddy',N'2012-05-10',N'Henderson Mimmack',N'95',N'7',N'132',N'74'),",2012-05-10
lmcian3p,"aB9""+<nJ",lmcian3p@surveymonkey.com,Carlin Everil,1995-03-27,Lazar McIan,78,8,41,71,,,," (N'lmcian3p', N'aB9""+<nJ', N'lmcian3p@surveymonkey.com',N'Carlin Everil',N'1995-03-27',N'Lazar McIan',N'78',N'8',N'41',N'71'),",1995-03-27
eokennedy3q,"fK1`,x`y",eokennedy3q@rambler.ru,Rita Simek,1989-04-03,Eal O'Kennedy,35,8,140,32,,,," (N'eokennedy3q', N'fK1`,x`y', N'eokennedy3q@rambler.ru',N'Rita Simek',N'1989-04-03',N'Eal O'Kennedy',N'35',N'8',N'140',N'32'),",1989-04-03
cstarr3r,"tL7<X&r""KVE&6d}",cstarr3r@nsw.gov.au,Jaquenette Conring,2003-10-25,Caro Starr,30,5,70,48,,,," (N'cstarr3r', N'tL7<X&r""KVE&6d}', N'cstarr3r@nsw.gov.au',N'Jaquenette Conring',N'2003-10-25',N'Caro Starr',N'30',N'5',N'70',N'48'),",2003-10-25
eewen3s,xY4*c%ZcJn8`1N,eewen3s@lycos.com,Steve Domenichelli,2002-10-06,Ertha Ewen,38,4,101,28,,,," (N'eewen3s', N'xY4*c%ZcJn8`1N', N'eewen3s@lycos.com',N'Steve Domenichelli',N'2002-10-06',N'Ertha Ewen',N'38',N'4',N'101',N'28'),",2002-10-06
kpardey3t,wL2!Kt=!j&.y,kpardey3t@lycos.com,Shane Tinmouth,1990-03-11,Kristin Pardey,15,5,78,62,,,," (N'kpardey3t', N'wL2!Kt=!j&.y', N'kpardey3t@lycos.com',N'Shane Tinmouth',N'1990-03-11',N'Kristin Pardey',N'15',N'5',N'78',N'62'),",1990-03-11
chilldrop3u,"yK2""LR)'ZJ?!&+`m",chilldrop3u@1und1.de,Whittaker Kelleway,2008-02-24,Casey Hilldrop,50,3,47,27,,,," (N'chilldrop3u', N'yK2""LR)'ZJ?!&+`m', N'chilldrop3u@1und1.de',N'Whittaker Kelleway',N'2008-02-24',N'Casey Hilldrop',N'50',N'3',N'47',N'27'),",2008-02-24
sjammet3v,hX7?TM$R8&KzAuRX,sjammet3v@blogger.com,Samuele Maleck,1982-02-15,Shantee Jammet,66,4,41,4,,,," (N'sjammet3v', N'hX7?TM$R8&KzAuRX', N'sjammet3v@blogger.com',N'Samuele Maleck',N'1982-02-15',N'Shantee Jammet',N'66',N'4',N'41',N'4'),",1982-02-15
trollins3w,uP3+h2%JZ{gB,trollins3w@ft.com,Wynne Karchowski,1999-07-23,Tami Rollins,42,6,57,43,,,," (N'trollins3w', N'uP3+h2%JZ{gB', N'trollins3w@ft.com',N'Wynne Karchowski',N'1999-07-23',N'Tami Rollins',N'42',N'6',N'57',N'43'),",1999-07-23
dantushev3x,sI3$Y)kR{z7Y{I,dantushev3x@purevolume.com,Lemmie Allwell,2018-07-06,Dame Antushev,59,5,175,96,,,," (N'dantushev3x', N'sI3$Y)kR{z7Y{I', N'dantushev3x@purevolume.com',N'Lemmie Allwell',N'2018-07-06',N'Dame Antushev',N'59',N'5',N'175',N'96'),",2018-07-06
jcann3y,cU8+{x\0,jcann3y@wunderground.com,Heddi Gowry,1994-04-22,Jorge Cann,33,5,178,75,,,," (N'jcann3y', N'cU8+{x\0', N'jcann3y@wunderground.com',N'Heddi Gowry',N'1994-04-22',N'Jorge Cann',N'33',N'5',N'178',N'75'),",1994-04-22
ggalero3z,gA1{#4g5sNi,ggalero3z@shinystat.com,Rafferty Issard,2006-01-11,Gaye Galero,42,6,182,98,,,," (N'ggalero3z', N'gA1{#4g5sNi', N'ggalero3z@shinystat.com',N'Rafferty Issard',N'2006-01-11',N'Gaye Galero',N'42',N'6',N'182',N'98'),",2006-01-11
cbremner40,"dI5`L<=5|~J""#r%",cbremner40@google.cn,Jenda Inman,1988-12-30,Chadwick Bremner,28,7,79,14,,,," (N'cbremner40', N'dI5`L<=5|~J""#r%', N'cbremner40@google.cn',N'Jenda Inman',N'1988-12-30',N'Chadwick Bremner',N'28',N'7',N'79',N'14'),",1988-12-30
asellack41,"oG6_l""YJEHVu*",asellack41@biglobe.ne.jp,Jimmy Druitt,1985-08-11,Aimee Sellack,60,3,188,92,,,," (N'asellack41', N'oG6_l""YJEHVu*', N'asellack41@biglobe.ne.jp',N'Jimmy Druitt',N'1985-08-11',N'Aimee Sellack',N'60',N'3',N'188',N'92'),",1985-08-11
blafay42,gF2)\}_%Y'q,blafay42@scientificamerican.com,Niki Junifer,1986-06-07,Barr Lafay,34,6,161,30,,,," (N'blafay42', N'gF2)\}_%Y'q', N'blafay42@scientificamerican.com',N'Niki Junifer',N'1986-06-07',N'Barr Lafay',N'34',N'6',N'161',N'30'),",1986-06-07
afinlan43,bM4(E>3Ci'A6,afinlan43@webnode.com,Theda Comar,1994-10-21,Andriana Finlan,95,7,157,45,,,," (N'afinlan43', N'bM4(E>3Ci'A6', N'afinlan43@webnode.com',N'Theda Comar',N'1994-10-21',N'Andriana Finlan',N'95',N'7',N'157',N'45'),",1994-10-21
staig44,mX6.0E}6i?U$jS)1,staig44@msu.edu,Jammie Doog,1999-12-11,Stephan Taig,67,6,63,51,,,," (N'staig44', N'mX6.0E}6i?U$jS)1', N'staig44@msu.edu',N'Jammie Doog',N'1999-12-11',N'Stephan Taig',N'67',N'6',N'63',N'51'),",1999-12-11
srabat45,aU4|s..Y?HP,srabat45@salon.com,Roberta Van der Linde,1993-08-21,Shana Rabat,31,4,160,44,,,," (N'srabat45', N'aU4|s..Y?HP', N'srabat45@salon.com',N'Roberta Van der Linde',N'1993-08-21',N'Shana Rabat',N'31',N'4',N'160',N'44'),",1993-08-21
inelson46,kE0(E#zhJ,inelson46@csmonitor.com,Frants Dicken,1999-12-10,Ingaberg Nelson,7,6,25,15,,,," (N'inelson46', N'kE0(E#zhJ', N'inelson46@csmonitor.com',N'Frants Dicken',N'1999-12-10',N'Ingaberg Nelson',N'7',N'6',N'25',N'15'),",1999-12-10
mshutler47,xT4|*Oz?,mshutler47@nps.gov,Arturo MacParland,1988-03-16,Marlena Shutler,8,6,97,87,,,," (N'mshutler47', N'xT4|*Oz?', N'mshutler47@nps.gov',N'Arturo MacParland',N'1988-03-16',N'Marlena Shutler',N'8',N'6',N'97',N'87'),",1988-03-16
dlemasney48,mK4>%g.+`jo/,dlemasney48@storify.com,Ertha Sidgwick,2016-05-24,Davon Lemasney,86,4,179,21,,,," (N'dlemasney48', N'mK4>%g.+`jo/', N'dlemasney48@storify.com',N'Ertha Sidgwick',N'2016-05-24',N'Davon Lemasney',N'86',N'4',N'179',N'21'),",2016-05-24
jbeardon49,"cM5)7wF,",jbeardon49@people.com.cn,Webster Sinden,1999-03-22,Jennica Beardon,6,7,150,73,,,," (N'jbeardon49', N'cM5)7wF,', N'jbeardon49@people.com.cn',N'Webster Sinden',N'1999-03-22',N'Jennica Beardon',N'6',N'7',N'150',N'73'),",1999-03-22
ndines4a,gH4`#/aL`lV,ndines4a@google.it,Eberto Mallalieu,1984-10-27,Ninette Dines,77,5,166,35,,,," (N'ndines4a', N'gH4`#/aL`lV', N'ndines4a@google.it',N'Eberto Mallalieu',N'1984-10-27',N'Ninette Dines',N'77',N'5',N'166',N'35'),",1984-10-27
mcompson4b,"rT8""{~vmnkx",mcompson4b@t-online.de,Kaila Bettenson,1991-02-10,Marianne Compson,56,5,192,10,,,," (N'mcompson4b', N'rT8""{~vmnkx', N'mcompson4b@t-online.de',N'Kaila Bettenson',N'1991-02-10',N'Marianne Compson',N'56',N'5',N'192',N'10'),",1991-02-10
arosbrough4c,"vM2$Hb""+""px,",arosbrough4c@hexun.com,Kitti Rathke,2016-10-06,Adolphe Rosbrough,85,7,64,7,,,," (N'arosbrough4c', N'vM2$Hb""+""px,', N'arosbrough4c@hexun.com',N'Kitti Rathke',N'2016-10-06',N'Adolphe Rosbrough',N'85',N'7',N'64',N'7'),",2016-10-06
jlidgertwood4d,aJ6?e$4Ev1,jlidgertwood4d@amazonaws.com,Winny Southern,1989-10-17,Jess Lidgertwood,82,5,112,12,,,," (N'jlidgertwood4d', N'aJ6?e$4Ev1', N'jlidgertwood4d@amazonaws.com',N'Winny Southern',N'1989-10-17',N'Jess Lidgertwood',N'82',N'5',N'112',N'12'),",1989-10-17
cbulfield4e,pW3~sjA}NUJ,cbulfield4e@phpbb.com,Merell Board,2010-07-16,Cris Bulfield,79,6,73,99,,,," (N'cbulfield4e', N'pW3~sjA}NUJ', N'cbulfield4e@phpbb.com',N'Merell Board',N'2010-07-16',N'Cris Bulfield',N'79',N'6',N'73',N'99'),",2010-07-16
yiacopo4f,vO8@3X}d1*u(v|eO,yiacopo4f@slate.com,Halie Brimacombe,2017-04-16,Yulma Iacopo,37,3,138,14,,,," (N'yiacopo4f', N'vO8@3X}d1*u(v|eO', N'yiacopo4f@slate.com',N'Halie Brimacombe',N'2017-04-16',N'Yulma Iacopo',N'37',N'3',N'138',N'14'),",2017-04-16
nbuchett4g,tU7{*HnD7nU,nbuchett4g@columbia.edu,Maurise Izsak,2004-12-20,Nataniel Buchett,99,6,172,98,,,," (N'nbuchett4g', N'tU7{*HnD7nU', N'nbuchett4g@columbia.edu',N'Maurise Izsak',N'2004-12-20',N'Nataniel Buchett',N'99',N'6',N'172',N'98'),",2004-12-20
plampe4h,oU0$COVp_mZSQre,plampe4h@cam.ac.uk,Aleece Ebbing,1982-02-03,Philomena Lampe,72,3,94,58,,,," (N'plampe4h', N'oU0$COVp_mZSQre', N'plampe4h@cam.ac.uk',N'Aleece Ebbing',N'1982-02-03',N'Philomena Lampe',N'72',N'3',N'94',N'58'),",1982-02-03
dsacco4i,"zT1*'RdMO>ZR,p,",dsacco4i@yolasite.com,Dodie Sykora,2014-01-21,Deidre Sacco,31,7,78,49,,,," (N'dsacco4i', N'zT1*'RdMO>ZR,p,', N'dsacco4i@yolasite.com',N'Dodie Sykora',N'2014-01-21',N'Deidre Sacco',N'31',N'7',N'78',N'49'),",2014-01-21
lscarlett4j,qO5_&UY<!_d<(v/g,lscarlett4j@bloglines.com,Annecorinne Selway,2015-09-07,Lenard Scarlett,71,8,55,95,,,," (N'lscarlett4j', N'qO5_&UY<!_d<(v/g', N'lscarlett4j@bloglines.com',N'Annecorinne Selway',N'2015-09-07',N'Lenard Scarlett',N'71',N'8',N'55',N'95'),",2015-09-07
ekenset4k,bR9<~/q8F(,ekenset4k@shinystat.com,Brockie Challinor,2013-01-23,Elena Kenset,64,7,48,24,,,," (N'ekenset4k', N'bR9<~/q8F(', N'ekenset4k@shinystat.com',N'Brockie Challinor',N'2013-01-23',N'Elena Kenset',N'64',N'7',N'48',N'24'),",2013-01-23
